,NoOfProduct,BillingDays,InvoiceType,CurrentBillWithoutTax,TotalTax,CurrentBillWithTax,Adjustment,LastMonthPendingAmount,TotalAmountToPay,LastMonthBill,Anomaly,TypeOfAnomaly
0,38,30,r,2295.9,1033.155,3329.0550000000003,905.0,0.0,2424.0550000000003,3333,0,
1,42,30,r,2511.1,1129.995,3641.095,0.0,0.0,3641.095,3637,0,
2,33,30,r,1991.1499999999999,896.0175,2887.1675,936.0,0.0,1951.1675,2884,0,
3,45,30,r,2716.75,1222.5375,3939.2875,0.0,0.0,3939.2875,3949,0,
4,21,30,r,1250.55,562.7475,1813.2975,0.0,0.0,1813.2975,1812,0,
5,45,30,r,2721.75,136.0875,2857.8375,0.0,0.0,2857.8375,3942,1,Tax Anomaly
6,42,30,r,2535.1,1140.795,3675.895,0.0,0.0,3675.895,3675,0,
7,22,30,r,1312.1,590.4449999999999,1902.5449999999998,0.0,0.0,1902.5449999999998,1904,0,
8,10,7,f,140.11666666666667,63.0525,203.16916666666668,0.0,0.0,203.16916666666668,857,0,
9,24,19,f,912.1266666666666,410.457,1322.5836666666664,0.0,0.0,1322.5836666666664,2073,0,
10,17,30,r,999.3499999999999,449.7074999999999,1449.0575,0.0,0.0,1449.0575,1445,0,
11,1,30,r,30.549999999999997,13.747499999999997,44.29749999999999,0.0,0.0,44.29749999999999,60,0,
12,4,30,r,227.2,102.24,329.44,0.0,0.0,329.44,314,0,
13,43,19,f,1645.8116666666667,740.6152500000001,2386.426916666667,0.0,1731.0,4117.426916666667,3767,0,
14,49,30,r,2934.95,1320.7275,4255.6775,2045.0,0.0,2210.6775,4256,0,
15,23,10,f,462.2166666666666,207.99749999999997,670.2141666666665,0.0,260.0,930.2141666666665,2018,0,
16,16,5,f,156.13333333333333,70.26,226.39333333333332,0.0,0.0,226.39333333333332,1360,0,
17,41,11,f,898.1683333333332,404.1757499999999,1302.344083333333,1193.0,0.0,109.34408333333295,3548,0,
18,21,30,r,1258.55,566.3475,1824.8975,0.0,0.0,1824.8975,1821,0,
19,12,30,r,699.5999999999999,314.81999999999994,1014.4199999999998,132.0,0.0,882.4199999999998,1015,0,
20,28,30,r,1671.3999999999999,752.13,2423.5299999999997,0.0,0.0,2423.5299999999997,2418,0,
21,1,30,r,44.55,20.0475,64.5975,2.0,0.0,66.5975,63,1,Adjustment Anomaly
22,19,30,r,1136.45,511.4025,1647.8525,500.0,0.0,1147.8525,1654,0,
23,21,7,f,290.8616666666667,130.88775,421.74941666666666,0.0,0.0,421.74941666666666,1807,0,
24,50,5,f,500.5833333333333,225.2625,725.8458333333333,0.0,0.0,725.8458333333333,4354,0,
25,46,10,f,917.7666666666665,412.99499999999995,1330.7616666666665,0.0,0.0,1330.7616666666665,3993,0,
26,19,30,r,1133.45,510.0525,1643.5025,0.0,0.0,1643.5025,1662,0,
27,5,19,f,191.10833333333332,85.99875,277.1070833333333,0.0,0.0,277.1070833333333,443,0,
28,35,6,f,421.45000000000005,189.65250000000003,611.1025000000001,0.0,624.0,1235.1025,3066,0,
29,14,30,r,835.6999999999999,376.065,1211.7649999999999,0.0,0.0,1211.7649999999999,1223,0,
30,21,12,f,508.22,228.699,736.9190000000001,0.0,0.0,736.9190000000001,1834,0,
31,26,18,f,940.3799999999999,423.17099999999994,1363.551,0.0,0.0,1363.551,2273,0,
32,46,10,f,923.0999999999999,415.3949999999999,1338.495,0.0,0.0,1338.495,4006,0,
33,8,11,f,172.11333333333332,77.451,249.5643333333333,0.0,0.0,249.5643333333333,693,0,
34,36,6,f,429.35999999999996,193.21199999999996,622.5719999999999,0.0,0.0,622.5719999999999,3117,0,
35,46,7,f,2782.2999999999997,1252.0349999999999,4034.3349999999996,0.0,0.0,4034.3349999999996,4037,1,InvoiceType Anomaly
36,40,30,r,2396.0,1078.2,3474.2,0.0,0.0,3474.2,3469,0,
37,3,12,f,62.25999999999999,28.017,90.27699999999999,0.0,0.0,90.27699999999999,236,0,
38,11,30,r,638.05,31.9025,669.9525,0.0,0.0,669.9525,928,1,Tax Anomaly
39,26,16,f,823.6266666666667,370.63199999999995,1194.2586666666666,0.0,0.0,1194.2586666666666,2245,0,
40,34,30,r,2035.6999999999998,916.0649999999998,2951.7649999999994,0.0,0.0,2951.7649999999994,2951,0,
41,50,17,f,1699.1499999999999,764.6175,2463.7675,0.0,0.0,2463.7675,4360,0,
42,10,30,r,579.5,260.775,840.275,0.0,191.0,1031.275,845,0,
43,18,17,f,605.1433333333332,272.31449999999995,877.4578333333332,0.0,0.0,877.4578333333332,1544,0,
44,14,18,f,502.0199999999999,225.909,727.9289999999999,0.0,0.0,727.9289999999999,1204,0,
45,30,30,r,1807.5,813.375,2620.875,0.0,0.0,2620.875,2628,0,
46,1,12,f,21.42,9.639000000000001,31.059000000000005,0.0,0.0,31.059000000000005,65,0,
47,45,14,f,1262.6833333333334,568.2075,1830.8908333333334,0.0,1290.0,3120.8908333333334,3910,0,
48,14,30,r,826.6999999999999,372.015,1198.715,362.0,0.0,836.7149999999999,1201,0,
49,23,30,r,1358.6499999999999,611.3924999999999,1970.0424999999998,726.0,0.0,2696.0424999999996,1955,1,Adjustment Anomaly
50,32,10,f,641.8666666666666,288.84,930.7066666666665,891.0,0.0,39.70666666666648,2792,0,
51,37,30,r,2239.35,1007.7075,3247.0575,995.0,0.0,2252.0575,3256,0,
52,20,30,r,1208.0,543.6,1751.6,0.0,0.0,1751.6,1741,0,
53,5,30,r,272.75,122.7375,395.4875,90.0,0.0,305.4875,392,0,
54,35,30,r,2093.25,941.9625,3035.2125,1136.0,0.0,1899.2125,3039,0,
55,16,30,r,965.8,434.61,1400.4099999999999,0.0,0.0,1400.4099999999999,1415,0,
56,42,30,r,2524.1,126.205,2650.305,0.0,1263.0,3913.305,3648,1,Tax Anomaly
57,8,9,f,137.51999999999998,61.88399999999999,199.40399999999997,0.0,0.0,199.40399999999997,667,0,
58,36,11,f,788.9933333333332,355.04699999999997,1144.0403333333331,0.0,0.0,1144.0403333333331,3121,0,
59,27,17,f,920.1816666666666,414.08174999999994,1334.2634166666667,1059.0,0.0,275.26341666666667,2342,0,
60,33,7,f,463.90166666666664,208.75574999999998,672.6574166666667,522.0,0.0,150.65741666666668,2893,0,
61,10,30,r,588.5,264.825,853.325,0.0,0.0,853.325,863,0,
62,24,30,r,1429.1999999999998,643.1399999999999,2072.3399999999997,0.0,543.0,2615.3399999999997,2081,0,
63,14,30,r,813.6999999999999,366.165,1179.865,0.0,0.0,1179.865,1184,0,
64,42,6,f,507.02,228.159,735.179,0.0,0.0,735.179,3681,0,
65,7,30,r,418.84999999999997,188.4825,607.3325,303.0,0.0,304.3325,624,0,
66,48,13,f,1245.1399999999999,560.313,1805.453,0.0,1351.0,3156.453,4158,0,
67,1,15,f,29.275,13.17375,42.44875,0.0,0.0,42.44875,83,0,
68,33,20,f,1309.4333333333332,589.2449999999999,1898.678333333333,0.0,0.0,1898.678333333333,2855,0,
69,1,13,f,25.805,11.61225,37.417249999999996,0.0,0.0,37.417249999999996,84,0,
70,7,30,r,413.84999999999997,186.2325,600.0825,0.0,0.0,600.0825,601,0,
71,42,30,r,2522.1,1134.945,3657.045,0.0,0.0,3657.045,3652,0,
72,13,12,f,305.26,137.367,442.62699999999995,255.0,0.0,187.62699999999995,1108,0,
73,3,30,r,178.64999999999998,80.39249999999998,259.04249999999996,0.0,124.0,383.04249999999996,250,0,
74,23,8,f,370.03999999999996,166.518,536.558,0.0,0.0,536.558,2018,0,
75,3,19,f,100.47833333333331,45.21524999999999,145.6935833333333,0.0,32.0,177.6935833333333,238,0,
76,35,17,f,1195.2416666666666,537.8587499999999,1733.1004166666664,0.0,0.0,1733.1004166666664,3048,0,
77,50,30,r,3005.5,1352.475,4357.975,0.0,0.0,4357.975,4357,0,
78,22,30,r,1317.1,592.6949999999999,1909.7949999999998,0.0,0.0,1909.7949999999998,1903,0,
79,2,13,f,40.776666666666664,18.3495,59.12616666666666,0.0,0.0,59.12616666666666,120,0,
80,2,30,r,89.1,40.095,129.195,0.0,0.0,129.195,134,0,
81,41,19,f,1553.9149999999997,699.2617499999999,2253.1767499999996,0.0,218.0,2471.1767499999996,3557,0,
82,37,30,r,2230.35,1003.6575,3234.0074999999997,0.0,0.0,3234.0074999999997,3235,0,
83,20,30,r,2263.0,1018.35,3281.35,0.0,0.0,3281.35,3286,1,Product Anomaly
84,4,16,f,117.44,52.848,170.288,0.0,0.0,170.288,321,0,
85,20,30,r,1176.0,58.8,1234.8,0.0,0.0,1234.8,1720,1,Tax Anomaly
86,14,13,f,354.33666666666664,159.4515,513.7881666666667,0.0,505.0,1018.7881666666667,1168,0,
87,5,30,r,269.75,121.3875,391.1375,0.0,0.0,391.1375,377,0,
88,31,30,r,1866.05,839.7225,2705.7725,0.0,637.0,3342.7725,2698,0,
89,10,30,r,585.5,263.475,848.975,0.0,0.0,848.975,856,0,
90,47,30,r,2835.85,1276.1325,4111.9825,0.0,0.0,4111.9825,4098,0,
91,21,30,r,1265.55,569.4975,1835.0475,0.0,0.0,1835.0475,1834,0,
92,34,20,f,1351.1333333333332,608.0099999999999,1959.143333333333,0.0,0.0,1959.143333333333,2925,0,
93,48,30,r,2889.3999999999996,1300.2299999999998,4189.629999999999,0.0,0.0,4189.629999999999,4192,0,
94,11,30,r,643.05,289.37249999999995,932.4224999999999,456.0,0.0,476.4224999999999,941,0,
95,33,30,r,1996.1499999999999,898.2675,2894.4175,0.0,0.0,2894.4175,2907,0,
96,50,11,f,1105.6833333333332,497.55749999999995,1603.240833333333,347.0,0.0,1256.240833333333,4374,0,
97,16,13,f,406.81333333333333,183.06599999999997,589.8793333333333,0.0,0.0,589.8793333333333,1350,0,
98,40,30,r,2410.0,1084.5,3494.5,0.0,574.0,4068.5,3503,0,
99,49,7,f,686.9216666666666,309.11474999999996,996.0364166666666,1227.0,0.0,-230.96358333333342,4260,0,
100,40,30,r,2406.0,1082.7,3488.7,1259.0,627.0,2856.7,3488,0,
101,6,17,f,199.63666666666663,89.83649999999997,289.4731666666666,0.0,0.0,289.4731666666666,506,0,
102,16,30,r,937.8,422.01,1359.81,411.0,0.0,948.81,1360,0,
103,44,6,f,532.24,239.50799999999998,771.748,0.0,0.0,771.748,3847,0,
104,4,30,r,234.2,105.39,339.59,0.0,0.0,339.59,344,0,
105,19,10,f,1115.45,501.9525,1617.4025000000001,0.0,0.0,1617.4025000000001,1616,1,InvoiceType Anomaly
106,50,15,f,1500.75,675.3375,2176.0875,1790.0,0.0,386.0875000000001,4348,0,
107,16,13,f,419.38,188.72099999999998,608.101,0.0,0.0,608.101,1409,0,
